People.score,Avg.People.score,A..papers,A.papers,B.papers,C.papers,Dif.countries,Number.people,PHD,Max.years.univ,Grants.succ,Grants.unsucc,Departments,Perc_non_australian
0,7.7513927338,7.7513927338,4.0,2.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,0.0
1,7.50378604688,7.50378604688,6.0,12.0,2.0,2.0,1,1,1.0,20.0,0.0,0.0,1,1.0
2,7.50818777248,1.87704694312,7.0,20.0,20.0,7.0,2,4,2.0,50.0,0.0,0.0,3,0.75
3,7.45298720653,3.72649360327,0.0,3.0,13.0,3.0,1,2,2.0,15.0,0.0,0.0,1,1.0
4,7.50195285048,7.50195285048,3.0,0.0,1.0,0.0,1,1,1.0,10.0,0.0,0.0,1,0.0
5,7.4871770542,7.4871770542,7.0,27.0,27.0,6.0,1,1,1.0,5.0,2.0,0.0,1,1.0
6,7.29081325439,2.4302710848,8.0,12.0,14.0,4.0,2,3,2.0,30.0,0.0,1.0,1,0.666666666667
7,7.06262534436,3.53131267218,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,3.0,1,1.0
8,7.4547956403,3.72739782015,8.0,1.0,11.0,0.0,1,2,2.0,20.0,2.0,1.0,1,1.0
9,7.50436336152,7.50436336152,1.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0
10,7.50327681169,3.75163840585,2.0,4.0,0.0,0.0,1,2,2.0,25.0,1.0,0.0,1,1.0
11,7.52505518942,7.52505518942,0.0,8.0,4.0,0.0,1,1,1.0,10.0,2.0,7.0,1,0.0
12,7.52148156664,7.52148156664,4.0,3.0,2.0,1.0,1,1,0.0,0.0,1.0,1.0,1,0.0
13,7.25907385144,3.62953692572,3.0,4.0,2.0,0.0,1,2,0.0,0.0,0.0,1.0,2,1.0
14,7.76704987062,2.58901662354,7.0,17.0,3.0,2.0,2,3,3.0,50.0,3.0,5.0,3,0.666666666667
15,7.5141961542,7.5141961542,0.0,0.0,2.0,2.0,1,1,1.0,5.0,0.0,1.0,1,1.0
16,7.52505518942,7.52505518942,0.0,8.0,4.0,0.0,1,1,1.0,10.0,2.0,7.0,1,0.0
17,7.49105675407,7.49105675407,0.0,2.0,1.0,2.0,1,1,1.0,5.0,1.0,0.0,1,1.0
18,7.50279952419,3.7513997621,6.0,4.0,6.0,32.0,1,2,2.0,35.0,2.0,0.0,1,1.0
19,7.50222075181,7.50222075181,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,1,0.0
20,7.50290349241,7.50290349241,1.0,1.0,2.0,0.0,1,1,1.0,10.0,1.0,1.0,1,1.0
21,7.51682078381,7.51682078381,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,1.0,1,1.0
22,7.26827327288,3.63413663644,6.0,12.0,2.0,2.0,1,2,1.0,40.0,3.0,3.0,2,1.0
